,0
0,Arizona
1,Colorado
2,Delaware
3,Florida
4,Georgia
5,Iowa
6,Kansas
7,Louisiana
8,Maine
9,Michigan
10,Minnesota
11,Missouri
12,Montana
13,Nebraska
14,New Hampshire
15,New Mexico
16,Oregon
17,Pennsylvania
18,Rhode Island
19,Tennessee
20,Utah
21,Vermont
22,Virginia
23,West Virginia
24,Wyoming
